file, text  
train_0.wav, "[Intro] Voice of Trisma the best online radio in Bali Voice of Trisma the best online radio in Bali hai Sobat Trisma balik lagi bersama aku Naina di program paling ngetop yang pastinya udah Sobat Trisma nantikan juga selama seminggu"
train_1.wav, "apalagi kalau bukan all about movie gimana kabar Sobat Trisma hari ini semoga lagi dalam mood yang cerah tenang dan siap diajak menyelam ke cerita-cerita yang hangat ya Sobat Trisma apa lagi udah selesai galungan kalau Sobat Trisma merayakan galungan pastinya udah puas dong ya makan-makanan olahan babi terus minggu ini jujur kalau naina sih sampai bosen ya Sobat Trisma mau pagi mau siang so"
train_2.wav, "re malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma"
train_3.wav, "mau pagi mau siang sore malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini sih sampai bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini"
train_4.wav, "ampe bosen ya Sobat Trisma mau pagi mau siang sore malem makanan Naina selama perayaan suci ini khas ibu dan lebih serunya lagi kita gak cuma ngebahasa satu film aja sobat trisma gak dua juga tapi empat film sekaligus empat film yang bakal menunjukan gimana peran seorang ibu itu beda beda di setiap budaya tapi semuanya tetap terikat oleh satu hal yaitu cinta yang ga pernah ada"
train_5.wav, "habisnya yang pertama ada film dari indonesia yang hangatnya itu langsung berasa kek pelukan ibu sendiri ada juga film dari luar negeri yang memberikan sudut pandang baru yang lebih luas lebih variatif tapi tetep bakalan bikin hati kita meleleh dan tugas kita sore ini sobat trisma kita bakalan mencari tahu kira-kira apa ya yang membedakan cara film indonesia dan film luar negeri"
train_6.wav, "dalam menggambarkan sosok ibu kira-kira apasih yang ngebikin ibu dalam film lokal itu kerasa begidu begitu deket atau begitu nyata dan kenapa ya kalau film internasional itu bisa menampilkan ibu dalam sisi yang kadang gak kita lihat sehari-hari kita bakalan kupas semuanya pelan pelan ya sobat trisma sambil ngerasain lagi kepikiran momen-momen kecil bareng ibu yang mungkin udah lama enggak kita pikirin mulai"
train_7.wav, "dari ibu yang rela lembur demi anaknya ibu yang selalu nyiapin bekal pagi-pagi sampai ibu yang diam-diam selalu doa setiap kamu ujian semuanya punya ceritanya sendiri dan film-film ini bakalan jadi cara yang indah buat menghargain itu semua jadi sobat trisma siapin posisi paling nyaman kamu mau sambil rebahan boleh mau sambil ngopi atau ngeteh boleh banget ya Sobat Tisma atau mungkin sambil nahan terharu ya, karena"
train_8.wav, "tiba-tiba keinget momen bareng ibu, ya gak apa-apa, itu wajar kok. Karena sore ini kita gak bakalan cuma nonton lewat ceritanya, tapi juga merasakan lewat hati.  Dan sebelum kita masuk ke film pertama, Naina mau bikin suasananya lebih lembut lagi deh. Kita puterin satu lagu yang manis banget, yang bisa bikin kamu ingat perjalanan kamu sama Ibu dari kecil sampai sekarang, yang bikin hati kamu siap untuk masuk ke pembahasan hari ini."
train_9.wav, "Oke Sobat Trisma, ini dia Sleeping Through My Finger dari ABBA. Selamat mendengarkan. [Lirik] she leaves home in the early morning [Lirik] Waving goodbye with an absent-minded smile [Lirik] I watch her go with a surge of that well-known sadness [Lirik] And I have to sit down for a"
